dataset,knnacc,knnbac,gnbacc,gnbbac,dtcacc,dtcbac,mlpacc,mlpbac,svcacc,svcbac
australian,\oldstylenums{0.836},\oldstylenums{0.833},\oldstylenums{0.817},\oldstylenums{0.806},\oldstylenums{0.810},\oldstylenums{0.803},\oldstylenums{0.837},\oldstylenums{0.836},\color{red} \oldstylenums{0.855},\color{red} \oldstylenums{0.862}
balance,\oldstylenums{0.885},\oldstylenums{0.767},\oldstylenums{0.921},\color{red} \oldstylenums{0.786},\oldstylenums{0.832},\oldstylenums{0.720},\oldstylenums{0.635},\oldstylenums{0.500},\color{red} \oldstylenums{0.924},\oldstylenums{0.785}
breastcan,\oldstylenums{0.961},\oldstylenums{0.954},\oldstylenums{0.959},\color{red} \oldstylenums{0.965},\oldstylenums{0.932},\oldstylenums{0.921},\oldstylenums{0.650},\oldstylenums{0.500},\color{red} \oldstylenums{0.963},\oldstylenums{0.957}
diabetes,\oldstylenums{0.711},\oldstylenums{0.658},\color{red} \oldstylenums{0.745},\color{red} \oldstylenums{0.713},\oldstylenums{0.703},\oldstylenums{0.666},\oldstylenums{0.729},\oldstylenums{0.701},\oldstylenums{0.662},\oldstylenums{0.521}
digit,\oldstylenums{0.998},\oldstylenums{0.994},\color{red} \oldstylenums{1.000},\color{red} \oldstylenums{1.000},\color{red} \oldstylenums{1.000},\color{red} \oldstylenums{1.000},\oldstylenums{0.939},\oldstylenums{0.832},\oldstylenums{0.994},\oldstylenums{0.983}
ecoli,\color{red} \oldstylenums{0.952},\tiny NaN,\oldstylenums{0.948},\tiny NaN,\oldstylenums{0.934},\tiny NaN,\oldstylenums{0.890},\tiny NaN,\oldstylenums{0.903},\tiny NaN
german,\oldstylenums{0.702},\oldstylenums{0.590},\oldstylenums{0.494},\oldstylenums{0.567},\oldstylenums{0.675},\oldstylenums{0.616},\oldstylenums{0.688},\color{red} \oldstylenums{0.626},\color{red} \oldstylenums{0.704},\oldstylenums{0.516}
hayes,\oldstylenums{0.651},\oldstylenums{0.569},\oldstylenums{0.701},\oldstylenums{0.658},\color{red} \oldstylenums{0.798},\color{red} \oldstylenums{0.764},\oldstylenums{0.609},\oldstylenums{0.528},\oldstylenums{0.609},\oldstylenums{0.531}
heart,\oldstylenums{0.765},\oldstylenums{0.762},\color{red} \oldstylenums{0.770},\color{red} \oldstylenums{0.764},\oldstylenums{0.699},\oldstylenums{0.697},\oldstylenums{0.736},\oldstylenums{0.735},\oldstylenums{0.765},\oldstylenums{0.764}
indianpines,\color{red} \oldstylenums{0.952},\oldstylenums{0.624},\oldstylenums{0.915},\color{red} \oldstylenums{0.659},\oldstylenums{0.947},\oldstylenums{0.647},\oldstylenums{0.945},\oldstylenums{0.513},\oldstylenums{0.949},\oldstylenums{0.530}
ionosphere,\oldstylenums{0.790},\oldstylenums{0.714},\color{red} \oldstylenums{0.880},\color{red} \oldstylenums{0.850},\oldstylenums{0.847},\oldstylenums{0.820},\oldstylenums{0.713},\oldstylenums{0.600},\oldstylenums{0.706},\oldstylenums{0.593}
